,pid,player,team,dunkasst,rimasst,midasst,3Passt
0,44344,Jailyn Ingram,Georgia,0.0,1.0,0.0,0.9473684210526315
1,45840,Deandre Dishman,Middle Tennessee,0.75,0.30097087378640774,0.0,0.0
2,46161,DeJuan Clayton,California,0.0,0.0,0.14285714285714285,0.45
3,46357,Brevin Galloway,Clemson,0.0,0.21818181818181817,0.0,0.8
4,46366,Michael Henn,Penn St.,0.0,0.8666666666666667,0.0,0.9230769230769231
5,50190,David Maynard,The Citadel,0.0,0.5384615384615384,0.5,0.9230769230769231
6,50194,Andrew Platek,Siena,0.0,0.5172413793103449,0.391304347826087,0.9705882352941176
7,50217,Jack Perry,Portland,0.0,0.0,0.0,0.8888888888888888
8,50219,Ra Kpedi,Purdue Fort Wayne,0.85,0.6103896103896104,1.0,0.0
9,50224,Emmanuel Akot,Western Kentucky,0.75,0.37037037037037035,0.047619047619047616,0.8235294117647058
10,50231,Justice Sueing,Ohio St.,0.6,0.2463768115942029,0.16666666666666666,0.8214285714285714
11,50235,Kobe King,Valparaiso,0.5454545454545454,0.4020618556701031,0.1891891891891892,0.7894736842105263
12,50250,Parker Stewart,Tennessee Martin,1.0,0.4166666666666667,0.17073170731707318,0.7727272727272727
13,50253,Marcus Carr,Texas,0.0,0.2564102564102564,0.1839080459770115,0.7804878048780488
14,50275,Jordan Davis,Jacksonville,0.4,0.1951219512195122,0.09090909090909091,0.84
15,50284,Terrence Lewis,Grambling St.,0.0,1.0,0.0,1.0
16,50286,Luka Vasic,East Texas A&M,0.0,0.7368421052631579,0.42857142857142855,0.92
17,50290,Nike Sibande,Pittsburgh,1.0,0.2608695652173913,0.2,0.7674418604651163
18,50312,Tydus Verhoeven,Northwestern,1.0,0.7586206896551724,0.8,0.0
19,50314,Eric Williams Jr.,San Diego,0.5454545454545454,0.38461538461538464,0.2916666666666667,0.7777777777777778
20,50351,Darius McNeill,Troy,0.0,0.20512820512820512,0.1,0.8
21,50363,Bryan Trimble Jr.,Missouri St.,0.0,0.0,0.0,0.8333333333333334
22,50369,Marco Anthony,Utah,0.75,0.34,0.5531914893617021,1.0
23,50413,Nelly Cummings,Pittsburgh,0.0,0.11764705882352941,0.1951219512195122,0.6065573770491803
24,50454,Desmond Cambridge Jr.,Arizona St.,0.7777777777777778,0.4827586206896552,0.33962264150943394,0.8658536585365854
25,50481,Ejike Obinna,Saint Joseph's,0.8571428571428571,0.7023809523809523,0.3333333333333333,0.0
26,50491,Joe Quintana,Cal Baptist,0.0,0.3333333333333333,0.25,0.7727272727272727
27,50551,Jerald Gillens-Butler,Elon,0.0,0.23529411764705882,0.06666666666666667,0.9444444444444444
28,50552,Cooper Neese,Indiana St.,0.0,0.6896551724137931,0.3,0.6785714285714286
29,50569,Malek Green,Youngstown St.,0.5555555555555556,0.4434782608695652,0.38461538461538464,0.9230769230769231
30,50575,Vin Baker Jr.,Milwaukee,1.0,0.8333333333333334,1.0,0.0
31,50590,Greg Elliott,Pittsburgh,0.0,0.4166666666666667,0.38461538461538464,0.948051948051948
32,50594,Makai Ashton-Langford,Boston College,0.0,0.31746031746031744,0.18604651162790697,0.8181818181818182
33,50619,Walter Whyte,Boston University,1.0,0.2948717948717949,0.15151515151515152,0.8478260869565217
34,50631,Connor McCaffery,Iowa,1.0,0.42857142857142855,0.3333333333333333,0.8157894736842105
35,50642,Marquis Godwin,Hampton,0.0,0.5,0.28205128205128205,0.813953488372093
36,50666,Ricky Nelson,Prairie View A&M,0.0,0.0,0.3333333333333333,1.0
37,50683,Will Douglas,Prairie View A&M,0.8333333333333334,0.4576271186440678,0.3384615384615385,0.75
38,50689,Justyn Mutts,Virginia Tech,0.6111111111111112,0.3984375,0.30952380952380953,1.0
39,50697,Sarju Patel,Albany,0.0,0.6666666666666666,0.2,0.9722222222222222
40,50699,Victor Enoh,UNC Wilmington,0.0,0.0,0.0,0.0
41,50709,Jamal Johnson,Chattanooga,0.0,0.6578947368421053,0.07142857142857142,0.9090909090909091
42,50718,Dan Akin,Utah St.,0.9183673469387755,0.751937984496124,0.6666666666666666,1.0
43,50741,Abayomi Iyiola,Kansas St.,0.5,0.8529411764705882,1.0,0.0
44,50749,Taylor Funk,Utah St.,0.7272727272727273,0.532258064516129,0.38095238095238093,0.8888888888888888
45,50768,Hunter Maldonado,Wyoming,0.0,0.175,0.025,0.782608695652174
46,50779,Dwight Wilson III,Ohio,0.8,0.38461538461538464,0.06666666666666667,0.0
47,50783,Chauncey Hawkins,Bryant,0.0,0.16666666666666666,0.0,1.0
48,50797,Caleb Daniels,Villanova,0.4,0.18518518518518517,0.06896551724137931,0.5466666666666666
49,50803,Buay Koka,Detroit Mercy,0.8571428571428571,0.8,0.75,0.0
50,50851,Felipe Haase,Southern Miss,1.0,0.525,0.5476190476190477,0.9833333333333333
51,50870,Marcus Shaver Jr.,Boise St.,0.0,0.14754098360655737,0.11428571428571428,0.27586206896551724
52,50878,Sam Iorio,Niagara,1.0,0.6530612244897959,0.42857142857142855,0.9444444444444444
53,50880,Devon Cooper,George Mason,0.0,0.2,0.4166666666666667,0.8769230769230769
54,50881,Cam Martin,Kansas,0.0,0.0,1.0,1.0
55,50911,A.J. Oliver II,Detroit Mercy,0.75,0.34375,0.47058823529411764,0.972972972972973
56,50927,Clifton Moore,Providence,0.7777777777777778,0.6388888888888888,0.7058823529411765,1.0
57,50939,Noah Baumann,Grand Canyon,0.0,0.3333333333333333,0.3333333333333333,0.9074074074074074
58,50942,Jacob Grandison,Duke,0.6666666666666666,0.625,0.2857142857142857,1.0
