,pid,player,team,dunkasst,rimasst,midasst,3Passt
0,12422,Malik Thomas,Norfolk St.,0.875,0.4523809523809524,0.3181818181818182,0.9736842105263158
1,13022,David Brown,Western Michigan,0.0,0.3230769230769231,0.18181818181818182,0.7142857142857143
2,14954,Brian Richardson,High Point,0.6,0.3125,0.21428571428571427,0.8333333333333334
3,14965,Isaac Smith,Maryland Eastern Shore,0.0,0.4,0.0,0.6666666666666666
4,14987,Terence Smith,Mississippi,0.0,0.14285714285714285,0.11764705882352941,0.875
5,15056,Steve Frankoski,Columbia,0.0,0.3333333333333333,0.6111111111111112,0.9545454545454546
6,15129,Dwayne Polee II,San Diego St.,0.8333333333333334,0.46153846153846156,0.1875,1.0
7,15217,Ralph Hill,Oakland,0.0,0.6666666666666666,0.0,0.9047619047619048
8,15238,Jamal Mitchell,UNC Greensboro,0.0,0.0,1.0,0.0
9,15301,Marcus Thornton,Georgia,1.0,0.5842696629213483,0.5833333333333334,0.8888888888888888
10,15362,Mikhail McLean,Houston,1.0,0.5,0.25,0.0
11,15422,James Carlton,Howard,0.5789473684210527,0.3902439024390244,0.45901639344262296,0.6842105263157895
12,15425,Trent Wiedeman,Georgia Southern,1.0,0.6567164179104478,0.4444444444444444,1.0
13,15429,Jeromie Hill,UTSA,0.9166666666666666,0.5375,0.3142857142857143,0.7962962962962963
14,15454,Gus Leeper,Little Rock,1.0,0.45161290322580644,0.8095238095238095,0.0
15,15492,Justin Drummond,Toledo,0.6666666666666666,0.5308641975308642,0.2571428571428571,0.8620689655172413
16,15541,Cedric Jenkins,Southeastern Louisiana,0.0,0.2727272727272727,0.20689655172413793,0.9142857142857143
17,15546,Mikel Trapp,Bethune Cookman,0.0,0.2222222222222222,0.1875,0.9454545454545454
18,15598,Ben Hazel,Princeton,0.0,0.13333333333333333,0.0,0.8421052631578947
19,15658,Delino Dear,Bethune Cookman,0.6666666666666666,0.4375,0.23529411764705882,0.0
20,15659,Alex Dragicevich,Boston College,0.0,0.0,0.0,1.0
21,15883,C.J. Washington,UAB,1.0,0.5641025641025641,0.6538461538461539,0.8461538461538461
22,16018,Pat Moore,Colgate,0.0,0.5,1.0,1.0
23,16117,Alandise Harris,Arkansas,0.4444444444444444,0.42,0.3783783783783784,0.6666666666666666
24,16176,Alex Tiffin,Sacramento St.,0.0,0.6896551724137931,0.6818181818181818,0.0
25,16203,Tyler Lamb,Long Beach St.,0.0,0.41935483870967744,0.38095238095238093,0.8787878787878788
26,16226,Riley Barker,Portland,0.5555555555555556,0.5,0.38461538461538464,0.0
27,16247,Chad Jackson,Northern Kentucky,1.0,0.3283582089552239,0.10526315789473684,0.0
28,16401,Bo Barnes,Arizona St.,0.0,0.5,0.3,0.9565217391304348
29,16456,Ted Bancroft,Providence,0.0,0.0,0.0,1.0
30,16485,John Ryan,UC Irvine,0.75,0.75,0.5,0.0
31,16501,Evan Kelley,Sacred Heart,0.5,0.48148148148148145,0.1276595744680851,0.8888888888888888
32,16505,Joshua Smith,Georgetown,0.8947368421052632,0.5675675675675675,0.5,0.0
33,16566,Kregg Jones,Cal St. Bakersfield,0.8571428571428571,0.6923076923076923,0.8,0.0
34,16572,Javonte Maynor,Cal St. Bakersfield,0.0,0.36363636363636365,0.125,0.9206349206349206
35,16602,Scott Eatherton,Northeastern,0.9310344827586207,0.5595238095238095,0.38095238095238093,0.875
36,16633,Aaron Bowen,Georgetown,0.6666666666666666,0.46153846153846156,0.38461538461538464,0.7777777777777778
37,16663,Brian Hornstein,Florida Atlantic,0.0,0.0,0.6666666666666666,0.0
38,16684,Anthony Brown,Stanford,0.375,0.13793103448275862,0.3076923076923077,0.8481012658227848
39,16760,Ethan Jacobs,Colgate,0.9090909090909091,0.44642857142857145,0.6229508196721312,0.9743589743589743
40,16790,Nino Williams,Kansas St.,0.0,0.6896551724137931,0.9152542372881356,0.6666666666666666
41,16837,Dan Guest,Connecticut,0.0,0.0,0.0,0.0
42,16923,Tyler Les,UC Davis,0.0,0.0,0.6666666666666666,0.9516129032258065
43,17023,Ayodeji Egbeyemi,Loyola Marymount,0.5555555555555556,0.46153846153846156,0.5476190476190477,0.8666666666666667
44,17104,Derek Jackson,Kent St.,0.5555555555555556,0.2777777777777778,0.10526315789473684,0.53125
45,17107,Colin Voss,North Texas,0.0,0.2903225806451613,0.45454545454545453,0.0
46,17139,Marcel Mosley,Arkansas Pine Bluff,0.0,0.27450980392156865,0.04,0.6231884057971014
47,17168,Daniel Bejarano,Colorado St.,1.0,0.4838709677419355,0.2903225806451613,0.8307692307692308
48,17190,Pete Rakocevic,Northern Illinois,1.0,0.25,0.5833333333333334,0.0
49,17239,Jamel Outler,UT Arlington,0.0,0.16666666666666666,0.13333333333333333,0.7450980392156863
50,17274,Will Regan,Buffalo,1.0,0.6,0.16666666666666666,0.9285714285714286
51,17291,Duje Dukan,Wisconsin,0.5,0.5652173913043478,0.625,0.9655172413793104
52,17292,Josh Gasser,Wisconsin,0.0,0.30434782608695654,0.2,0.8775510204081632
53,17495,Jalen Courtney,Morehead St.,0.0,0.5,1.0,0.0
54,17512,Thomas Jacobs,San Diego,0.75,0.6226415094339622,0.8421052631578947,1.0
55,17560,Calvin Godfrey,Memphis,0.75,0.5813953488372093,0.5,0.0
56,17573,Andrew Ryan,Campbell,1.0,0.8095238095238095,0.5,0.9615384615384616
57,17631,Tshilidzi Nephawe,New Mexico St.,0.9230769230769231,0.5076923076923077,0.4,0.0
58,17657,Alex Harris,Cal St. Fullerton,0.0,0.14893617021276595,0.2033898305084746,0.5588235294117647
59,17745,Ahmad Starks,Illinois,0.0,0.125,0.0,0.625
60,17757,Evan Smotrycz,Maryland,0.0,0.26666666666666666,0.0,0.8888888888888888
61,17845,Pee Wee Gardner,American,0.0,0.3888888888888889,0.2413793103448276,0.5757575757575758
62,17879,Joe O'Shea,Bryant,0.0,0.45614035087719296,0.4,0.9696969696969697
63,17903,Darius Leonard,Wake Forest,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.9655172413793104
64,18066,Jordan Sibert,Dayton,0.6,0.38235294117647056,0.3448275862068966,0.975
65,18087,Maliik Love,Cal Poly,0.0,0.1794871794871795,0.07692307692307693,0.6666666666666666
66,18147,Matt Stainbrook,Xavier,1.0,0.5887096774193549,0.4166666666666667,0.0
67,18148,"Juwan Howard, Jr.",Detroit Mercy,1.0,0.21875,0.3076923076923077,0.7419354838709677
68,18168,Denzel Brito,Loyola MD,0.0,0.09523809523809523,0.15384615384615385,0.7647058823529411
69,18208,Corey Hawkins,UC Davis,0.0,0.09090909090909091,0.08333333333333333,0.5316455696202531
70,18313,Dionte Ferguson,South Alabama,0.6,0.4482758620689655,0.4634146341463415,0.0
71,18316,Amric Fields,TCU,0.8333333333333334,0.6304347826086957,0.3333333333333333,0.7857142857142857
72,18340,Steve Forbes,Purdue Fort Wayne,1.0,0.7115384615384616,0.6428571428571429,0.0
73,18360,Jonathan Graham,Maryland,0.0,0.5384615384615384,0.3333333333333333,0.0
74,18430,Nate Rucker,Kennesaw St.,0.5,0.5,0.0,0.0
75,18431,Michael Cobbins,Oklahoma St.,0.8387096774193549,0.7096774193548387,0.3333333333333333,0.0
76,18498,Antoine Mason,Auburn,1.0,0.21875,0.1111111111111111,0.717391304347826
77,18540,Aaron Bright,Saint Mary's,0.0,0.11428571428571428,0.045454545454545456,0.7380952380952381
78,18584,Matt Kamieniecki,Ball St.,0.6666666666666666,0.6111111111111112,0.5,1.0
79,18590,Karam Mashour,Morehead St.,0.875,0.5851063829787234,0.35294117647058826,0.95
80,18597,Eric McKnight,Long Beach St.,0.8571428571428571,0.5714285714285714,0.7272727272727273,0.0
81,18598,Jordan Railey,Washington St.,0.8,0.5588235294117647,0.10526315789473684,0.0
82,18665,Emerson Murray,Seattle,0.75,0.38461538461538464,0.3333333333333333,1.0
83,18694,J.T. Thomas,Little Rock,0.0,0.0,0.05555555555555555,0.7857142857142857
84,18708,Abdul Ahmed,Cal St. Bakersfield,0.0,0.5714285714285714,0.625,0.9166666666666666
85,18741,Jershon Cobb,Northwestern,0.0,0.75,0.5625,1.0
86,18771,T.J. McConnell,Arizona,0.0,0.2,0.09859154929577464,0.84
87,18785,Juwan Staten,West Virginia,0.0,0.16981132075471697,0.14492753623188406,0.6666666666666666
88,18858,Kevin Panzer,American,1.0,0.6818181818181818,0.2857142857142857,0.9333333333333333
89,18886,Stefan Nastic,Stanford,1.0,0.4727272727272727,0.5,0.0
90,18940,Nate Hicks,Florida Gulf Coast,0.8888888888888888,0.696969696969697,0.5714285714285714,0.0
91,18948,Tim Douglas,Portland St.,0.0,0.1111111111111111,0.08333333333333333,0.9
92,18986,Tommy Spagnolo,Appalachian St.,0.8888888888888888,0.5384615384615384,0.41935483870967744,0.8333333333333334
93,18997,Jarvis Williams,Murray St.,0.8571428571428571,0.6971830985915493,0.42857142857142855,0.0
94,19018,Curtis Washington,Georgia St.,0.875,0.6,0.5833333333333334,0.0
95,19019,Garrett Jackson,Saint Mary's,0.4,0.5161290322580645,0.4666666666666667,1.0
96,19049,Reese Holliday,UMKC,0.0,0.4897959183673469,0.23076923076923078,0.9
97,19100,Michael Messer,SIU Edwardsville,0.0,0.42857142857142855,0.18181818181818182,0.9523809523809523
98,19164,Eric Ferguson,Georgia Southern,0.8,0.4117647058823529,0.0,0.7222222222222222
99,19263,Jesse Morgan,Temple,0.0,0.2608695652173913,0.375,0.8235294117647058
100,19294,Steve McClellan,Cal St. Fullerton,0.25,0.43859649122807015,0.5454545454545454,0.0
101,19403,Kourtney Roberson,Texas A&M,0.6666666666666666,0.5794392523364486,0.3,0.0
102,19415,Stevie Taylor,Ohio,0.0,0.09090909090909091,0.2222222222222222,0.8181818181818182
103,19422,Clarke Rosenberg,Chicago St.,0.0,0.2127659574468085,0.08333333333333333,0.6285714285714286
104,19423,Austin Hamilton,Elon,0.0,0.2857142857142857,0.08823529411764706,0.7333333333333333
105,19427,Chauncey Orr,Bowling Green,0.0,0.5,0.0,1.0
