,pid,player,team,dunkasst,rimasst,midasst,3Passt
0,27085,Josh Warren,Cornell,1.0,0.6883116883116883,0.38461538461538464,0.9473684210526315
1,30969,Luke Worthington,BYU,0.0,0.5384615384615384,0.8571428571428571,0.0
2,31053,Dontel Highsmith,Cleveland St.,0.0,0.3888888888888889,0.3333333333333333,0.9285714285714286
3,31249,Dylan Jones,Rice,1.0,0.5,0.0,0.0
4,31389,Emmanuel Toney,Texas A&M Corpus Chris,0.0,0.20930232558139536,0.16666666666666666,0.92
5,31509,Damarion Geter,Longwood,0.75,0.4444444444444444,0.0,1.0
6,32009,Parker Van Dyke,Utah,0.0,0.4,0.0,0.8472222222222222
7,32932,Andre Adams,Southern Utah,0.8,0.5054945054945055,0.5714285714285714,1.0
8,33470,Mitch Hahn,Nebraska Omaha,0.5,0.34210526315789475,0.14705882352941177,0.8181818181818182
9,33478,Ryan Andino,Maryland Eastern Shore,0.0,0.375,0.4444444444444444,0.8076923076923077
10,33513,Chancellor Barnard,Binghamton,1.0,0.6111111111111112,0.0,0.0
11,33534,Keon Williams,St. Francis NY,0.3333333333333333,0.42857142857142855,0.5,0.9166666666666666
12,33535,Glenn Sanabria,St. Francis NY,0.0,0.2698412698412698,0.13333333333333333,0.4482758620689655
13,33566,Jacquil Taylor,Hofstra,1.0,0.7549019607843137,0.7777777777777778,0.0
14,33583,Tre'Shawn Thurman,Nevada,0.7647058823529411,0.484375,0.42105263157894735,1.0
15,33628,Cheddi Mosely,La Salle,0.0,1.0,0.0,0.9
16,33635,Dave Bell,Jacksonville,0.8085106382978723,0.7012987012987013,0.7058823529411765,0.0
17,33642,Jeremy Combs,Texas Southern,0.8205128205128205,0.5863874345549738,0.46875,0.8
18,33645,Dan Dwyer,Hofstra,0.0,0.9545454545454546,0.5,0.0
19,33654,Aaren Edmead,North Carolina A&T,0.0,0.14285714285714285,0.125,0.6666666666666666
20,33655,Corey Henson,Nevada,0.0,0.375,0.3333333333333333,1.0
21,33664,Antonio Woods,Penn,0.0,0.2,0.0,0.6730769230769231
22,33668,Nathan Moran,Lipscomb,0.0,0.5714285714285714,0.0,0.9090909090909091
23,33674,Trevor John,Drexel,0.0,0.36363636363636365,0.4444444444444444,0.9578947368421052
24,33677,Aleks Abrams,Miami OH,0.0,0.4,0.0,0.0
25,33679,Terrell Lewis,Eastern Illinois,0.0,0.0,0.0,0.0
26,33690,Zacarry Douglas,North Carolina Central,1.0,0.6086956521739131,0.4090909090909091,1.0
27,33702,Justin Coleman,Arizona,0.0,0.058823529411764705,0.0,0.5
28,33721,Hassan Hussein,Southern,0.0,0.5,0.7058823529411765,1.0
29,33733,Josh Delaney,Sam Houston St.,0.0,0.1935483870967742,0.36363636363636365,0.4745762711864407
30,33735,Logan Power,South Dakota,0.0,0.3333333333333333,0.5,0.7
31,33737,Albert Almanza,Sam Houston St.,0.0,0.5,0.4375,1.0
32,33740,Thatch Unruh,Central Arkansas,0.0,0.45714285714285713,0.25,0.9393939393939394
33,33768,Connor Kern,The Citadel,0.0,0.4375,0.0,0.9
34,33821,Bryan Alberts,Long Beach St.,0.0,0.2857142857142857,0.23809523809523808,0.828125
35,33823,Josh Perkins,Gonzaga,0.5,0.22580645161290322,0.07407407407407407,0.7547169811320755
36,33824,Zach McRoberts,Indiana,0.0,0.0,0.75,1.0
37,33904,Ami Lakoju,UC Santa Barbara,0.6666666666666666,0.6153846153846154,1.0,0.0
38,33918,Zoran Talley Jr.,Iowa St.,0.6666666666666666,0.5833333333333334,0.5714285714285714,0.0
39,33924,Shawn Roundtree,Central Michigan,0.0,0.2,0.11764705882352941,0.7631578947368421
40,33955,Jake Toolson,Utah Valley,1.0,0.32142857142857145,0.08,0.6031746031746031
41,33986,Namon Wright,Colorado,0.5,0.1,0.16666666666666666,1.0
42,33987,Jakeenan Gant,Louisiana,0.8113207547169812,0.6103896103896104,0.5757575757575758,0.9024390243902439
43,33994,Tyree Griffin,Southern Miss,0.0,0.24528301886792453,0.2,0.6086956521739131
44,34001,Romone Saunders,Wagner,0.0,0.21153846153846154,0.13333333333333333,0.7719298245614035
45,34006,Cameron Jackson,Wofford,0.4,0.36153846153846153,0.20454545454545456,0.75
46,34046,Stuckey Mosley,James Madison,0.0,0.2653061224489796,0.2127659574468085,0.8636363636363636
47,34073,Deshon Taylor,Fresno St.,0.3333333333333333,0.08196721311475409,0.125,0.47692307692307695
48,34096,Jabari McGhee,Austin Peay,0.45454545454545453,0.4177215189873418,0.5,0.0
49,34168,Sandy Cohen III,Green Bay,0.4666666666666667,0.42391304347826086,0.19298245614035087,0.5172413793103449
50,34191,Shaquille Doorson,Rutgers,0.8947368421052632,0.7631578947368421,0.4166666666666667,0.0
51,34204,Marques Townes,Loyola Chicago,0.5,0.3469387755102041,0.11538461538461539,0.8205128205128205
52,34208,Lloyd Burgess,UNC Greensboro,0.0,0.0,0.0,0.0
53,34233,Schadrac Casimir,Florida Gulf Coast,0.0,0.3404255319148936,0.0,0.8028169014084507
54,34234,Nyaires Redding,Wyoming,0.0,0.125,0.0,1.0
55,34238,Christen Cunningham,Louisville,0.0,0.10909090909090909,0.04,0.5862068965517241
56,34248,Detrick Mostella,Jacksonville St.,0.5,0.15,0.2857142857142857,0.875
57,34346,Noah Robotham,UNLV,0.0,0.30434782608695654,0.0,0.6610169491525424
58,34347,Javon Bess,Saint Louis,1.0,0.6585365853658537,0.3230769230769231,0.8636363636363636
59,34376,Kenny Goins,Michigan St.,0.875,0.7222222222222222,0.8823529411764706,1.0
60,34442,Aaron Calixte,Oklahoma,0.0,0.13793103448275862,0.0625,0.6176470588235294
61,34534,Jordan Nobles,Oakland,0.0,0.42857142857142855,1.0,1.0
62,34538,Jeremy Jones,Gonzaga,0.2,0.2916666666666667,0.0,1.0
63,34543,Clayton Custer,Loyola Chicago,0.0,0.3235294117647059,0.21621621621621623,0.9655172413793104
