,pid,player,team,dunkasst,rimasst,midasst,3Passt
0,65925,Antwann Jones,UNC Greensboro,0.0,0.5,1.0,0.5
1,67572,Elijah Elliott,New Mexico St.,0.0,0.0625,0.125,0.45714285714285713
2,70326,Doctor Bradley,Bethune Cookman,1.0,0.375,0.0,1.0
3,70501,Rahmir Moore,Delaware St.,0.0,0.0625,0.25,0.9411764705882353
4,70621,Alex Hemenway,Evansville,1.0,0.6666666666666666,0.25,0.9148936170212766
5,70754,Addison Patterson,Eastern Michigan,0.6785714285714286,0.4297520661157025,0.1935483870967742,0.7
6,70772,Rienk Mast,Nebraska,1.0,0.6027397260273972,0.3695652173913043,0.96
7,70789,Rick Issanza,Loyola Marymount,0.9047619047619048,0.8214285714285714,0.5,0.0
8,70941,Steele Venters,Gonzaga,0.5,0.16666666666666666,0.0,0.9444444444444444
9,70961,Micah Thomas,Northwestern St.,0.0,0.17142857142857143,0.20987654320987653,0.6086956521739131
10,71003,Rashaun Agee,Texas A&M,0.8571428571428571,0.6504065040650406,0.6190476190476191,1.0
11,71025,Tyler Cochran,Rhode Island,0.0,0.20481927710843373,0.30434782608695654,0.8363636363636363
12,71299,Curt Lewis,Southern Miss,0.0,0.3333333333333333,0.6666666666666666,0.9591836734693877
13,71441,Chase Johnston,High Point,0.0,1.0,0.0,0.9672131147540983
14,71448,Devan Cambridge,UCF,0.9230769230769231,0.8333333333333334,0.0,1.0
15,71463,Gianni Hunt,East Texas A&M,0.0,0.16,0.0,0.8
16,71540,Morgan Safford,Kent St.,0.25,0.4909090909090909,0.35714285714285715,0.9384615384615385
17,71578,Matt Van Komen,Marshall,0.8235294117647058,0.6949152542372882,0.2857142857142857,0.0
18,71663,Jordan Brinson,Cal St. Northridge,0.0,0.2857142857142857,0.25,0.95
19,71791,Hosana Kitenge,UC Santa Barbara,0.0,0.2839506172839506,0.2,1.0
20,71840,Liam McChesney,Creighton,0.0,0.0,0.0,0.0
21,71940,Tariq Ingraham,Memphis,1.0,0.7272727272727273,0.5,0.0
22,72241,Josh Ogundele,Hampton,1.0,0.5636363636363636,1.0,1.0
23,72254,Jahari Long,George Mason,0.0,0.15,0.15,0.5208333333333334
24,72291,Javon Cooley,Pepperdine,0.8333333333333334,0.6981132075471698,0.5714285714285714,0.95
25,72294,Toneari Lane,San Diego,0.0,0.38095238095238093,0.3333333333333333,0.9333333333333333
26,72299,Trae Broadnax,Rice,0.0,0.1,0.014285714285714285,0.6486486486486487
27,72301,Jeremiah Williams,Georgetown,0.0,0.37142857142857144,0.1111111111111111,0.6923076923076923
28,72323,Keishon Porter,Evansville,0.6,0.3157894736842105,0.16666666666666666,1.0
29,72343,Alec Oglesby,Middle Tennessee,0.0,0.5454545454545454,0.6,0.9642857142857143
30,72357,Tegra Izay,Southern Miss,0.625,0.6521739130434783,0.75,0.0
31,72358,Latrell Wrightsell Jr.,Alabama,0.0,0.09090909090909091,0.15789473684210525,0.9210526315789473
32,72399,Isaiah Cottrell,Southern Utah,0.9047619047619048,0.6323529411764706,0.3333333333333333,0.9090909090909091
33,72421,Nijel Pack,Oklahoma,0.0,0.18518518518518517,0.1111111111111111,0.7235772357723578
34,72423,Andre Henry,UC Irvine,0.0,0.32142857142857145,0.225,1.0
35,72433,Josh Taylor,East Texas A&M,1.0,0.6521739130434783,0.5,1.0
36,72450,Chad Baker-Mazara,USC,0.375,0.3157894736842105,0.2978723404255319,0.6333333333333333
37,72478,Dante Harris,Tennessee St.,1.0,0.14545454545454545,0.11666666666666667,0.4666666666666667
38,72501,Jay Rodgers,Central Connecticut,0.0,0.030303030303030304,0.05,0.5
39,72504,Jalen Speer,Marshall,1.0,0.2692307692307692,0.20408163265306123,0.6404494382022472
40,72520,Saba Gigiberia,San Francisco,0.7142857142857143,0.5,0.0,0.0
41,72521,DA Houston,Texas A&M Corpus Chris,0.0,0.0,0.1,0.7777777777777778
42,72526,Terren Frank,Campbell,0.0,1.0,0.0,0.0
43,72539,Tyon Grant-Foster,Gonzaga,0.7317073170731707,0.5327102803738317,0.29411764705882354,0.9411764705882353
44,72614,Monty Bowser,Cal Baptist,1.0,0.3333333333333333,0.0,1.0
45,72621,Vukasin Masic,San Francisco,0.0,0.23809523809523808,0.18181818181818182,0.9032258064516129
46,72635,Yame Butler,Butler,0.0,0.375,0.36363636363636365,1.0
47,72638,Anthony Roy,Oklahoma St.,0.0,0.1694915254237288,0.0,0.7222222222222222
48,72639,Graham Ike,Gonzaga,0.72,0.6446280991735537,0.5434782608695652,0.875
49,72656,Quincy Ballard,Mississippi St.,0.9375,0.7301587301587301,0.75,0.0
50,72675,Freddy Hicks,Tarleton St.,0.0,0.4166666666666667,0.5,1.0
51,72677,John Shanu II,Eastern Michigan,1.0,0.9,0.0,0.0
52,72678,Devin Askew,Villanova,0.0,0.35,0.20833333333333334,0.7538461538461538
53,72679,Brycen Long,Portland St.,0.0,0.0,1.0,0.9285714285714286
54,72692,Markhi Strickland,North Dakota St.,0.696969696969697,0.4946236559139785,0.22580645161290322,0.0
55,72710,Yacine Toumi,Hawaii,1.0,0.4666666666666667,0.5,0.0
56,72726,Melvyn Ebonkoli,NJIT,1.0,0.375,0.23529411764705882,0.0
57,72727,Skylar Wicks,Saint Francis,0.6666666666666666,0.2753623188405797,0.1836734693877551,0.7868852459016393
58,72734,Kaden Metheny,Liberty,0.0,0.2608695652173913,0.3333333333333333,0.7872340425531915
59,72737,Zion Bethea,Delaware St.,0.0,0.3333333333333333,0.3333333333333333,0.75
